"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1600000US2472450","Silver Spring CDP, Maryland","81992","6452",
"1600000US2481175","Waldorf CDP, Maryland","86777","7993",
"1600000US2507000","Boston city, Massachusetts","71834","4237",
"1600000US2509000","Brockton city, Massachusetts","63043","5461",
"1600000US2511000","Cambridge city, Massachusetts","106363","6329",
"1600000US2523000","Fall River city, Massachusetts","44957","5937",
"1600000US2524960","Framingham city, Massachusetts","82698","8349",
"1600000US2534550","Lawrence city, Massachusetts","41356","6094",
"1600000US2537000","Lowell city, Massachusetts","59867","6070",
"1600000US2537490","Lynn city, Massachusetts","55473","9068",
"1600000US2545000","New Bedford city, Massachusetts","48762","4711",
"1600000US2545560","Newton city, Massachusetts","142254","14310",
"1600000US2555745","Quincy city, Massachusetts","73503","7557",
"1600000US2562535","Somerville city, Massachusetts","101073","10203",
"1600000US2567000","Springfield city, Massachusetts","32747","2787",
"1600000US2582000","Worcester city, Massachusetts","46967","4526",
"1600000US2603000","Ann Arbor city, Michigan","67862","3707",
"1600000US2621000","Dearborn city, Michigan","55498","4614",
"1600000US2622000","Detroit city, Michigan","31283","779",
"1600000US2627440","Farmington Hills city, Michigan","85697","8727",
"1600000US2629000","Flint city, Michigan","28844","3848",
"1600000US2634000","Grand Rapids city, Michigan","51226","3444",
"1600000US2642160","Kalamazoo city, Michigan","42759","3418",
"1600000US2646000","Lansing city, Michigan","40670","2774",
"1600000US2649000","Livonia city, Michigan","77892","4963",
"1600000US2669035","Rochester Hills city, Michigan","97808","9024",
"1600000US2674900","Southfield city, Michigan","56044","4814",
"1600000US2676460","Sterling Heights city, Michigan","60631","4641",
"1600000US2680700","Troy city, Michigan","96864","7274",
"1600000US2684000","Warren city, Michigan","51187","3479",
"1600000US2686000","Westland city, Michigan","48172","4646",
"1600000US2688940","Wyoming city, Michigan","51303","4141",
"1600000US2706382","Blaine city, Minnesota","84907","6197",
"1600000US2706616","Bloomington city, Minnesota","70177","4797",
